id_magasin,date,chiffre_affaire
1,2020-01-01,4721.19
1,2020-02-01,13350.7
1,2020-03-01,21902.24
1,2020-04-01,24881.28
1,2020-05-01,512.94
1,2020-06-01,8788.79
1,2020-07-01,7998.56
1,2020-08-01,7016.85
1,2020-09-01,37632.87
1,2020-10-01,19462.58
1,2020-11-01,0.0
1,2020-12-01,29136.06
1,2021-01-01,36540.68
1,2021-02-01,28183.88
1,2021-03-01,0.0
1,2021-04-01,9455.68
1,2021-05-01,27273.25
1,2021-06-01,5466.69
1,2021-07-01,18354.23
1,2021-08-01,25000.18
1,2021-09-01,4233.5
1,2021-10-01,14699.98
1,2021-11-01,0.0
1,2021-12-01,3183.84
1,2022-01-01,11322.85
1,2022-02-01,28.68
1,2022-03-01,39569.74
1,2022-04-01,0.0
1,2022-05-01,9194.61
1,2022-06-01,14580.62
1,2022-07-01,30551.33
1,2022-08-01,0.0
1,2022-09-01,33127.91
1,2022-10-01,16302.37
1,2022-11-01,3047.91
1,2022-12-01,25311.74
1,2023-01-01,17197.44
1,2023-02-01,8787.67
1,2023-03-01,18941.8
1,2023-04-01,11694.02
1,2023-05-01,16182.22
1,2023-06-01,21109.92
1,2023-07-01,33657.85
1,2023-08-01,164.78
1,2023-09-01,48553.29
1,2023-10-01,0.0
1,2023-11-01,13033.61
1,2023-12-01,28413.03
2,2020-01-01,11849.88
2,2020-02-01,5532.79
2,2020-03-01,9751.98
2,2020-04-01,6676.73
2,2020-05-01,5113.32
2,2020-06-01,15117.14
2,2020-07-01,12438.3
2,2020-08-01,4913.54
2,2020-09-01,20120.25
2,2020-10-01,13735.38
2,2020-11-01,15966.55
2,2020-12-01,18946.66
2,2021-01-01,3421.51
2,2021-02-01,6388.41
2,2021-03-01,19629.4
2,2021-04-01,17228.89
2,2021-05-01,9988.88
2,2021-06-01,10337.0
2,2021-07-01,20542.33
2,2021-08-01,6097.71
2,2021-09-01,17661.87
2,2021-10-01,9703.74
2,2021-11-01,8389.65
2,2021-12-01,24859.45
2,2022-01-01,17670.09
2,2022-02-01,20020.17
2,2022-03-01,26311.21
2,2022-04-01,12331.28
2,2022-05-01,16448.65
2,2022-06-01,7442.69
2,2022-07-01,13402.45
2,2022-08-01,10864.85
2,2022-09-01,13868.67
2,2022-10-01,17901.71
2,2022-11-01,3676.17
2,2022-12-01,37060.39
2,2023-01-01,2171.69
2,2023-02-01,363.23
2,2023-03-01,25920.91
2,2023-04-01,20708.58
2,2023-05-01,16681.54
2,2023-06-01,15552.7
2,2023-07-01,11017.24
2,2023-08-01,3577.9
2,2023-09-01,14270.96
2,2023-10-01,5810.3
2,2023-11-01,19805.79
2,2023-12-01,12785.31
3,2020-01-01,3833.26
3,2020-02-01,9555.44
3,2020-03-01,18159.21
3,2020-04-01,7061.77
3,2020-05-01,3862.85
3,2020-06-01,12546.97
3,2020-07-01,13499.55
3,2020-08-01,7646.05
3,2020-09-01,8506.26
3,2020-10-01,15250.29
3,2020-11-01,0.0
3,2020-12-01,0.0
3,2021-01-01,5039.95
3,2021-02-01,11199.44
3,2021-03-01,17897.37
3,2021-04-01,29446.11
3,2021-05-01,19983.77
3,2021-06-01,9614.34
3,2021-07-01,11671.57
3,2021-08-01,2673.8
3,2021-09-01,14120.23
3,2021-10-01,10386.81
3,2021-11-01,14911.73
3,2021-12-01,5220.35
3,2022-01-01,17574.92
3,2022-02-01,31497.82
3,2022-03-01,13708.57
3,2022-04-01,18695.72
3,2022-05-01,19271.45
3,2022-06-01,7842.72
3,2022-07-01,14642.16
3,2022-08-01,14291.28
3,2022-09-01,16188.29
3,2022-10-01,5399.05
3,2022-11-01,12659.71
3,2022-12-01,22612.11
3,2023-01-01,28050.03
3,2023-02-01,26143.41
3,2023-03-01,42737.17
3,2023-04-01,5711.47
3,2023-05-01,22039.24
3,2023-06-01,13846.08
3,2023-07-01,35720.63
3,2023-08-01,5226.88
3,2023-09-01,5152.27
3,2023-10-01,7698.96
3,2023-11-01,0.0
3,2023-12-01,9794.69
